taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
870903	species	Terriglobus saanensis	1	1	1	1	1	1.00	0.00	[1]
1177712	species	Komagataeibacter medellinensis	1	5	5	5	5	5.00	0.00	[5]
887061	species	Methylovorus sp. MP688	1	2	2	2	2	2.00	0.00	[2]
185300	species	Paludibacter propionicigenes	1	3	3	3	3	3.00	0.00	[3]
34085	species	Riemerella anatipestifer	12	2	3	3	3.0	2.92	0.28	[3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3]
2105	species	Mycoplasma leachii	1	2	2	2	2	2.00	0.00	[2]
28903	species	Mycoplasma bovis	22	1	2	2	2.0	1.86	0.34	[2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]
477976	species	Calditerrivibrio nitroreducens	1	2	2	2	2	2.00	0.00	[2]
1006	species	Marivirga tractuosa	1	2	2	2	2	2.00	0.00	[2]
556287	species	Candidatus Liberibacter solanacearum	1	3	3	3	3	3.00	0.00	[3]
148813	species	Sulfuricurvum kujiense	1	3	3	3	3	3.00	0.00	[3]
187137	species	Oceanithermus profundus	1	2	2	2	2	2.00	0.00	[2]
234831	species	Pseudoalteromonas sp. SM9913	1	8	8	8	8	8.00	0.00	[8]
29494	species	Vibrio furnissii	6	7	10		9.0	8.83	1.07	[7, 10, 9, 10, 8, 9]
53358	species	Intrasporangium calvum	2	2	2	2	2.0	2.00	0.00	[2, 2]
73919	species	Thermaerobacter marianensis	1	2	2	2	2	2.00	0.00	[2]
228745	species	Thermovibrio ammonificans	1	3	3	3	3	3.00	0.00	[3]
283734	species	Staphylococcus pseudintermedius	39	5	6	6	6	5.85	0.36	[6, 5, 6, 5, 6, 6, 5, 6, 5, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6]
39645	species	Mesorhizobium ciceri	3	2	2	2	2	2.00	0.00	[2, 2, 2]
314722	species	Pseudoxanthomonas suwonensis	2	1	2		1.5	1.50	0.50	[2, 1]
251535	species	Candidatus Blochmannia vafer	1	1	1	1	1	1.00	0.00	[1]
290053	species	Bacteroides helcogenes	1	5	5	5	5	5.00	0.00	[5]
269261	species	Nitratifractor salsuginis	1	2	2	2	2	2.00	0.00	[2]
59600	species	Cellulophaga algicola	1	5	5	5	5	5.00	0.00	[5]
128	species	Isosphaera pallida	1	3	3	3	3	3.00	0.00	[3]
309887	species	Deinococcus maricopensis	1	4	4	4	4	4.00	0.00	[4]
894	species	Desulfobulbus propionicus	1	2	2	2	2	2.00	0.00	[2]
29501	species	Mycoplasma haemofelis	2	1	1	1	1.0	1.00	0.00	[1, 1]
37636	species	Thermus scotoductus	1	1	1	1	1	1.00	0.00	[1]
741091	species	Rahnella sp. Y9602	1	7	7	7	7	7.00	0.00	[7]
1014	species	Weeksella virosa	2	5	5	5	5.0	5.00	0.00	[5, 5]
361575	species	Pseudarthrobacter phenanthrenivorans	1	4	4	4	4	4.00	0.00	[4]
29329	species	Thermoanaerobacterium xylanolyticum	1	5	5	5	5	5.00	0.00	[5]
985052	species	Vulcanisaeta moutnovskia	1	1	1	1	1	1.00	0.00	[1]
1131703	species	Sphaerochaeta globosa	1	4	4	4	4	4.00	0.00	[4]
28118	species	Odoribacter splanchnicus	2	4	4	4	4.0	4.00	0.00	[4, 4]
55148	species	Deinococcus proteolyticus	1	3	3	3	3	3.00	0.00	[3]
376805	species	Phocaeicola salanitronis	1	6	6	6	6	6.00	0.00	[6]
979	species	Cellulophaga lytica	3	4	4	4	4	4.00	0.00	[4, 4, 4]
51197	species	Syntrophobotulus glycolicus	1	4	4	4	4	4.00	0.00	[4]
151895	species	Pseudopedobacter saltans	1	4	4	4	4	4.00	0.00	[4]
64160	species	Desulfurobacterium thermolithotrophum	1	2	2	2	2	2.00	0.00	[2]
48296	species	Acinetobacter pittii	17	2	6	6	6	5.76	0.94	[2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
1604	species	Lactobacillus amylovorus	3	4	5	4	4	4.33	0.47	[4, 4, 5]
877455	species	Methanobacterium lacus	1	2	2	2	2	2.00	0.00	[2]
83554	species	Chlamydia psittaci	18	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
442694	species	Xanthomonas perforans	2	2	2	2	2.0	2.00	0.00	[2, 2]
861208	species	Agrobacterium sp. H13-3	1	5	5	5	5	5.00	0.00	[5]
991904	species	Polymorphum gilvum	1	2	2	2	2	2.00	0.00	[2]
743722	species	Sphingobacterium sp. 21	1	4	4	4	4	4.00	0.00	[4]
119864	species	Marinomonas mediterranea	1	7	7	7	7	7.00	0.00	[7]
1376	species	Aerococcus urinae	3	4	4	4	4	4.00	0.00	[4, 4, 4]
184117	species	Thermoproteus uzoniensis	1	1	1	1	1	1.00	0.00	[1]
28129	species	Prevotella denticola	2	4	4	4	4.0	4.00	0.00	[4, 4]
52766	species	Caldicellulosiruptor lactoaceticus	1	3	3	3	3	3.00	0.00	[3]
435	species	Acetobacter aceti	3	3	4	3	3	3.33	0.47	[3, 3, 4]
520	species	Bordetella pertussis	554	3	4	3	3.0	3.00	0.06	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
84405	species	Hippea maritima	1	2	2	2	2	2.00	0.00	[2]
191579	species	Fluviicola taffensis	1	2	2	2	2	2.00	0.00	[2]
58290	species	Archaeoglobus veneficus	1	1	1	1	1	1.00	0.00	[1]
28095	species	Burkholderia gladioli	7	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5]
930166	species	Pseudomonas brassicacearum	6	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5]
1002672	species	Candidatus Pelagibacter sp. IMCC9063	1	1	1	1	1	1.00	0.00	[1]
167	species	Treponema succinifaciens	1	4	4	4	4	4.00	0.00	[4]
60893	species	Desulfobacca acetoxidans	1	1	1	1	1	1.00	0.00	[1]
33871	species	Coriobacterium glomerans	1	2	2	2	2	2.00	0.00	[2]
186192	species	Marinithermus hydrothermalis	1	3	3	3	3	3.00	0.00	[3]
1390	species	Bacillus amyloliquefaciens	42	6	10	9	9.0	8.76	0.84	[6, 10, 7, 7, 10, 9, 9, 10, 8, 9, 8, 9, 9, 7, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9]
622488	species	Francisella hispaniensis	2	3	3	3	3.0	3.00	0.00	[3, 3]
208596	species	Carnobacterium sp. 17-4	1	8	8	8	8	8.00	0.00	[8]
518	species	Bordetella bronchiseptica	23	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
519	species	Bordetella parapertussis	85	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
1642	species	Listeria innocua	2	6	6	6	6.0	6.00	0.00	[6, 6]
1717	species	Corynebacterium diphtheriae	22	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
2107	species	Mycoplasma pulmonis	2	1	1	1	1.0	1.00	0.00	[1, 1]
2208	species	Methanosarcina barkeri	6	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3]
29292	species	Pyrococcus abyssi	1	1	1	1	1	1.00	0.00	[1]
84588	species	Synechococcus sp. WH 8102	1	2	2	2	2	2.00	0.00	[2]
119219	species	Cupriavidus metallidurans	4	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4]
670	species	Vibrio parahaemolyticus	60	8	14	12	12.0	11.62	0.98	[11, 11, 12, 11, 8, 10, 10, 12, 12, 14, 11, 13, 9, 12, 12, 12, 12, 12, 13, 9, 12, 12, 12, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 11, 12, 12, 12, 12, 12, 11, 11, 12, 12, 12, 12, 12, 12]
265606	species	Rhodopirellula baltica	1	1	1	1	1	1.00	0.00	[1]
844	species	Wolinella succinogenes	2	3	3	3	3.0	3.00	0.00	[3, 3]
2218628	species	Photorhabdus laumondii	4	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7]
959	species	Bdellovibrio bacteriovorus	5	1	2	2	2	1.60	0.49	[2, 2, 2, 1, 1]
290399	species	Arthrobacter sp. FB24	1	5	5	5	5	5.00	0.00	[5]
74109	species	Photobacterium profundum	1	15	15	15	15	15.00	0.00	[15]
68909	species	Deinococcus geothermalis	1	4	4	4	4	4.00	0.00	[4]
486	species	Neisseria lactamica	4	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4]
313588	species	Croceibacter atlanticus	1	2	2	2	2	2.00	0.00	[2]
1231	species	Nitrosospira multiformis	1	1	1	1	1	1.00	0.00	[1]
645	species	Aeromonas salmonicida	15	9	10	10	10	9.73	0.44	[9, 9, 10, 10, 10, 10, 10, 10, 10, 9, 9, 10, 10, 10, 10]
85701	species	Bartonella tribocorum	2	2	2	2	2.0	2.00	0.00	[2, 2]
1511	species	Acetoanaerobium sticklandii	1	6	6	6	6	6.00	0.00	[6]
291112	species	Photorhabdus asymbiotica	1	7	7	7	7	7.00	0.00	[7]
40269	species	Aliivibrio salmonicida	2	12	13		12.5	12.50	0.50	[12, 13]
1164	species	Trichormus azollae	1	4	4	4	4	4.00	0.00	[4]
2051	species	Mobiluncus curtisii	1	2	2	2	2	2.00	0.00	[2]
182337	species	Erwinia billingiae	2	7	7	7	7.0	7.00	0.00	[7, 7]
2322	species	Methanohalobium evestigatum	1	2	2	2	2	2.00	0.00	[2]
240495	species	Pseudonocardia dioxanivorans	1	3	3	3	3	3.00	0.00	[3]
43767	species	Rhodococcus hoagii	4	4	5		4.5	4.50	0.50	[4, 5, 5, 4]
1148157	species	Acinetobacter oleivorans	1	6	6	6	6	6.00	0.00	[6]
33910	species	Amycolatopsis mediterranei	4	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4]
1244	species	Leuconostoc gelidum	6	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4]
2746	species	Halomonas elongata	1	4	4	4	4	4.00	0.00	[4]
413810	species	Halalkalicoccus jeotgali	1	1	1	1	1	1.00	0.00	[1]
256701	species	Glutamicibacter arilaitensis	1	6	6	6	6	6.00	0.00	[6]
412963	species	Mycetohabitans rhizoxinica	1	3	3	3	3	3.00	0.00	[3]
167964	species	Anaerolinea thermophila	1	2	2	2	2	2.00	0.00	[2]
214	species	Helicobacter felis	1	2	2	2	2	2.00	0.00	[2]
2033	species	Microbacterium testaceum	1	2	2	2	2	2.00	0.00	[2]
62140	species	Acidiphilium multivorum	1	2	2	2	2	2.00	0.00	[2]
248026	species	Cupriavidus pinatubonensis	1	6	6	6	6	6.00	0.00	[6]
266	species	Paracoccus denitrificans	2	3	3	3	3.0	3.00	0.00	[3, 3]
94122	species	Shewanella sp. ANA-3	1	9	9	9	9	9.00	0.00	[9]
264691	species	Trichormus variabilis	2	4	4	4	4.0	4.00	0.00	[4, 4]
654	species	Aeromonas veronii	19	7	10	10	10	9.63	0.93	[10, 10, 10, 10, 7, 9, 10, 10, 10, 10, 10, 10, 7, 10, 10, 10, 10, 10, 10]
85991	species	Chlamydia pecorum	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
1003110	species	Micromonospora maris	1	3	3	3	3	3.00	0.00	[3]
2223	species	Methanothrix soehngenii	1	2	2	2	2	2.00	0.00	[2]
1006005	species	Metallosphaera cuprina	1	1	1	1	1	1.00	0.00	[1]
273376	species	Sphaerochaeta coccoides	1	3	3	3	3	3.00	0.00	[3]
69823	species	Selenomonas sputigena	1	4	4	4	4	4.00	0.00	[4]
1007105	species	Pusillimonas sp. T7-7	1	2	2	2	2	2.00	0.00	[2]
750	species	Gallibacterium anatis	1	6	6	6	6	6.00	0.00	[6]
729	species	Haemophilus parainfluenzae	16	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
97084	species	Halobacteriovorax marinus	2	2	2	2	2.0	2.00	0.00	[2, 2]
1581	species	Lactobacillus buchneri	3	5	5	5	5	5.00	0.00	[5, 5, 5]
342949	species	Pyrococcus sp. NA2	1	1	1	1	1	1.00	0.00	[1]
983544	species	Lacinutrix sp. 5H-3-7-4	1	2	2	2	2	2.00	0.00	[2]
983548	species	Dokdonia sp. 4H-3-7-5	1	3	3	3	3	3.00	0.00	[3]
28123	species	Porphyromonas asaccharolytica	1	2	2	2	2	2.00	0.00	[2]
184064	species	Thermodesulfobium narugense	1	2	2	2	2	2.00	0.00	[2]
81028	species	Treponema brennaborense	1	4	4	4	4	4.00	0.00	[4]
873	species	Desulfocurvibacter africanus	1	3	3	3	3	3.00	0.00	[3]
1708	species	Cellulomonas fimi	2	2	2	2	2.0	2.00	0.00	[2, 2]
2350	species	Haliscomenobacter hydrossis	1	2	2	2	2	2.00	0.00	[2]
563177	species	Acidianus hospitalis	1	1	1	1	1	1.00	0.00	[1]
499229	species	Tepidanaerobacter acetatoxydans	2	2	2	2	2.0	2.00	0.00	[2, 2]
252966	species	Mahella australiensis	1	3	3	3	3	3.00	0.00	[3]
715451	species	Alteromonas naphthalenivorans	1	5	5	5	5	5.00	0.00	[5]
547143	species	Hydrogenobaculum sp. 3684	1	2	2	2	2	2.00	0.00	[2]
47880	species	Pseudomonas fulva	4	4	7	7	7.0	6.25	1.30	[4, 7, 7, 7]
160808	species	Acidithiobacillus ferrivorans	2	2	2	2	2.0	2.00	0.00	[2, 2]
875328	species	Mycolicibacter sinensis	1	2	2	2	2	2.00	0.00	[2]
639313	species	Hoyosella subflava	1	3	3	3	3	3.00	0.00	[3]
768490	species	Serratia sp. AS12	1	7	7	7	7	7.00	0.00	[7]
936476	species	Marinomonas posidonica	1	8	8	8	8	8.00	0.00	[8]
150829	species	Treponema azotonutricium	1	2	2	2	2	2.00	0.00	[2]
742013	species	Delftia sp. Cs1-4	1	5	5	5	5	5.00	0.00	[5]
2189	species	Methanotorris igneus	1	2	2	2	2	2.00	0.00	[2]
1565	species	Desulfotomaculum nigrificans	1	8	8	8	8	8.00	0.00	[8]
421	species	Methylomonas methanica	1	3	3	3	3	3.00	0.00	[3]
868131	species	Methanobacterium paludis	1	3	3	3	3	3.00	0.00	[3]
267818	species	Lactobacillus kefiranofaciens	3	4	5	4	4	4.33	0.47	[4, 4, 5]
768493	species	Serratia sp. AS13	1	7	7	7	7	7.00	0.00	[7]
147268	species	Thiomicrospira cyclica	1	2	2	2	2	2.00	0.00	[2]
547145	species	Hydrogenobaculum sp. SHO	1	2	2	2	2	2.00	0.00	[2]
1564	species	Desulfotomaculum ruminis	1	5	5	5	5	5.00	0.00	[5]
139208	species	Isoptericola variabilis	1	3	3	3	3	3.00	0.00	[3]
65058	species	Corynebacterium ulcerans	19	1	4	4	4	3.84	0.67	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4]
94132	species	Ramlibacter tataouinensis	2	1	2		1.5	1.50	0.50	[1, 2]
548	species	Klebsiella aerogenes	31	7	8	8	8	7.97	0.18	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
1295609	species	Thermodesulfobacterium geofontis	1	1	1	1	1	1.00	0.00	[1]
1008460	species	Pyrococcus yayanosii	1	1	1	1	1	1.00	0.00	[1]
53435	species	Treponema paraluiscuniculi	1	2	2	2	2	2.00	0.00	[2]
55601	species	Vibrio anguillarum	15	7	10		9	8.80	1.11	[7, 7, 8, 10, 7, 9, 10, 10, 9, 9, 8, 10, 9, 9, 10]
387343	species	Halopiger xanaduensis	1	3	3	3	3	3.00	0.00	[3]
171695	species	Thermodesulfatator indicus	1	2	2	2	2	2.00	0.00	[2]
119394	species	Pseudothermotoga thermarum	1	1	1	1	1	1.00	0.00	[1]
39669	species	Methanosalsum zhilinae	1	3	3	3	3	3.00	0.00	[3]
11	species	Cellulomonas gilvus	1	2	2	2	2	2.00	0.00	[2]
2352	species	Flexistipes sinusarabici	1	2	2	2	2	2.00	0.00	[2]
106	species	Runella slithyformis	1	2	2	2	2	2.00	0.00	[2]
61624	species	Paenibacillus mucilaginosus	3	13	14	13	13	13.33	0.47	[13, 14, 13]
573569	species	Francisella salina	1	3	3	3	3	3.00	0.00	[3]
35	species	Corallococcus macrosporus	2	3	4		3.5	3.50	0.50	[3, 4]
1048758	species	Candidatus Moranella endobia	2	1	1	1	1.0	1.00	0.00	[1, 1]
189385	species	Candidatus Tremblaya princeps	2	2	2	2	2.0	2.00	0.00	[2, 2]
234827	species	Candidatus Midichloria mitochondrii	1	1	1	1	1	1.00	0.00	[1]
1465	species	Brevibacillus laterosporus	6	11	12	12	12.0	11.83	0.37	[12, 11, 12, 12, 12, 12]
261292	species	Nitrosomonas sp. Is79A3	1	1	1	1	1	1.00	0.00	[1]
215591	species	Treponema caldarium	1	3	3	3	3	3.00	0.00	[3]
979982	species	Leuconostoc sp. C2	1	4	4	4	4	4.00	0.00	[4]
165096	species	Weissella koreensis	3	5	5	5	5	5.00	0.00	[5, 5, 5]
310575	species	Advenella kashmirensis	1	2	2	2	2	2.00	0.00	[2]
28188	species	Capnocytophaga canimorsus	6	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3]
1038928	species	Streptomyces xinghaiensis	1	6	6	6	6	6.00	0.00	[6]
120576	species	Brucella pinnipedialis	3	3	3	3	3	3.00	0.00	[3, 3, 3]
158899	species	Collimonas fungivorans	2	3	3	3	3.0	3.00	0.00	[3, 3]
1042877	species	Thermococcus sp. 4557	1	1	1	1	1	1.00	0.00	[1]
226665	species	Rickettsia heilongjiangensis	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
257758	species	Streptococcus pseudopneumoniae	1	1	1	1	1	1.00	0.00	[1]
64897	species	Borreliella bissettii	1	1	1	1	1	1.00	0.00	[1]
104	species	Cyclobacterium marinum	1	3	3	3	3	3.00	0.00	[3]
84377	species	Brachyspira intermedia	1	1	1	1	1	1.00	0.00	[1]
54252	species	Pyrolobus fumarii	1	1	1	1	1	1.00	0.00	[1]
51589	species	Haloarcula hispanica	2	3	3	3	3.0	3.00	0.00	[3, 3]
37487	species	Marichromatium purpuratum	1	3	3	3	3	3.00	0.00	[3]
111501	species	Muricauda ruestringensis	1	2	2	2	2	2.00	0.00	[2]
2123	species	Mycoplasma putrefaciens	3	2	2	2	2	2.00	0.00	[2, 2, 2]
885040	species	Enterobacter soli	1	7	7	7	7	7.00	0.00	[7]
1623	species	Ligilactobacillus ruminis	1	6	6	6	6	6.00	0.00	[6]
1625	species	Lactobacillus sanfranciscensis	2	7	8		7.5	7.50	0.50	[7, 8]
301301	species	Roseburia hominis	2	4	4	4	4.0	4.00	0.00	[4, 4]
458033	species	Chloracidobacterium thermophilum	1	1	1	1	1	1.00	0.00	[1]
349221	species	Micavibrio aeruginosavorus	2	1	1	1	1.0	1.00	0.00	[1, 1]
300231	species	Glaciecola nitratireducens	1	4	4	4	4	4.00	0.00	[4]
84590	species	Taylorella asinigenitalis	1	3	3	3	3	3.00	0.00	[3]
229731	species	Halobiforma lacisalsi	1	3	3	3	3	3.00	0.00	[3]
92245	species	Thiomicrospira aerophila	1	2	2	2	2	2.00	0.00	[2]
108010	species	Thioalkalivibrio paradoxus	1	1	1	1	1	1.00	0.00	[1]
377615	species	Thermobacillus composti	1	5	5	5	5	5.00	0.00	[5]
73141	species	Thiocystis violascens	1	3	3	3	3	3.00	0.00	[3]
187327	species	Acidaminococcus intestini	1	3	3	3	3	3.00	0.00	[3]
531813	species	Pelagibacterium halotolerans	2	2	3		2.5	2.50	0.50	[2, 3]
666685	species	Rhodanobacter denitrificans	1	2	2	2	2	2.00	0.00	[2]
44930	species	Natronobacterium gregoryi	1	3	3	3	3	3.00	0.00	[3]
69525	species	Natrinema pellirubrum	1	3	3	3	3	3.00	0.00	[3]
36814	species	Mycolicibacterium rhodesiae	1	2	2	2	2	2.00	0.00	[2]
751944	species	Halobacterium sp. DL1	1	1	1	1	1	1.00	0.00	[1]
536018	species	Mesorhizobium australicum	1	2	2	2	2	2.00	0.00	[2]
79209	species	Desulfosporosinus meridiei	1	11	11	11	11	11.00	0.00	[11]
142877	species	Desulfitobacterium metallireducens	1	8	8	8	8	8.00	0.00	[8]
39768	species	Blattabacterium sp. (Mastotermes darwiniensis)	1	1	1	1	1	1.00	0.00	[1]
102134	species	Desulfallas gibsoniae	1	8	8	8	8	8.00	0.00	[8]
336261	species	Thermovirga lienii	1	3	3	3	3	3.00	0.00	[3]
415229	species	Pseudoxanthomonas spadix	1	1	1	1	1	1.00	0.00	[1]
1104324	species	Pyrobaculum ferrireducens	1	1	1	1	1	1.00	0.00	[1]
93466	species	Fervidobacterium pennivorans	2	2	2	2	2.0	2.00	0.00	[2, 2]
301375	species	Methanosaeta harundinacea	1	1	1	1	1	1.00	0.00	[1]
159743	species	Paenibacillus terrae	1	9	9	9	9	9.00	0.00	[9]
1563	species	Desulfosporosinus orientis	1	8	8	8	8	8.00	0.00	[8]
1097668	species	Burkholderia sp. YI23	1	6	6	6	6	6.00	0.00	[6]
164514	species	Blattabacterium punctulatus	11	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1111069	species	Thermus sp. CCB_US3_UF1	1	2	2	2	2	2.00	0.00	[2]
33941	species	Geobacillus thermoleovorans	5	9	10	10	10	9.60	0.49	[9, 10, 10, 9, 10]
146939	species	Dechlorosoma suillum	1	2	2	2	2	2.00	0.00	[2]
1131707	species	Sphaerochaeta pleomorpha	1	4	4	4	4	4.00	0.00	[4]
253245	species	Owenweeksia hongkongensis	1	2	2	2	2	2.00	0.00	[2]
985002	species	Staphylococcus argenteus	5	5	6	5	5	5.20	0.40	[5, 5, 5, 6, 5]
288965	species	Hungateiclostridium clariflavum	1	6	6	6	6	6.00	0.00	[6]
134676	species	Actinoplanes sp. SE50/110	2	6	6	6	6.0	6.00	0.00	[6, 6]
83561	species	Simkania negevensis	1	1	1	1	1	1.00	0.00	[1]
29303	species	Streptomyces cattleya	2	6	6	6	6.0	6.00	0.00	[6, 6]
35794	species	Rickettsia slovaca	2	1	1	1	1.0	1.00	0.00	[1, 1]
187452	species	Pediococcus claussenii	3	4	4	4	4	4.00	0.00	[4, 4, 4]
28112	species	Tannerella forsythia	3	2	2	2	2	2.00	0.00	[2, 2, 2]
298657	species	Pseudoalteromonas spongiae	2	7	8		7.5	7.50	0.50	[7, 8]
394751	species	Pseudoalteromonas arctica	1	9	9	9	9	9.00	0.00	[9]
138074	species	Serratia symbiotica	4	1	7		4.0	4.00	3.00	[1, 7, 7, 1]
136241	species	Mycoplasma haemocanis	1	1	1	1	1	1.00	0.00	[1]
299767	species	Enterobacter ludwigii	10	8	9	8	8.0	8.10	0.30	[8, 8, 8, 9, 8, 8, 8, 8, 8, 8]
996	species	Flavobacterium columnare	31	4	13	11	11	10.74	2.12	[5, 4, 12, 13, 6, 7, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]
1117645	species	Elizabethkingia anophelis	22	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
1134687	species	Klebsiella michiganensis	21	7	8	8	8	7.95	0.21	[8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
